"ID","days","latitude","longitude","elevation","IGBP","Koppen","reference_paper","IGBP_2","Koppen_2"
"AR-SLu",141,-33.4648,-66.4598,713,"MF","BSk","Ulke, A. G., Gattinoni, N. N. and Posse, G.: Analysis and modelling of turbulent fluxes in two different ecosystems in Argentina, Int. J. Environ. Pollut., 58(1-2), 52–62, 2015.","Forest","Arid"
"AT-Neu",2506,47.1167,11.3175,970,"GRA","Dfc - Snow fully humid cool summer","Wohlfahrt, G., Hammerle, A., Haslwanter, A., Bahn, M., Tappeiner, U. and Cernusca, A.: Seasonal and inter-annual variability of the net ecosystem CO2 exchange of a temperate mountain grassland: Effects of weather and management, J. Geophys. Res., 113(D8), D08110, 2008.","Grassland","Cold"
"AU-Ade",479,-13.0769,131.1178,76,"WSA","Aw - Equatorial savannah with dry winter","Beringer, J., Hacker, J., Hutley, L. B., Leuning, R., Arndt, S. K., Amiri, R., Bannehr, L., Cernusak, L., Grover, S., Hensley, C., Hocking, D., Isaac, P., Jamali, H., Kanniah, K., Livesley, S., Neininger, B., Tha Paw U, K., Sea, W., Straten, D., Tapper, N., Weinmann, R., Wood, S. and Zegelin, S.: SPECIAL—Savanna Patterns of Energy and Carbon Integrated across the Landscape, Bull. Am. Meteorol. Soc., 92(11), 1467–1485, 2011b.","Savanna","Tropical"
"AU-ASM",1411,-22.283,133.249,605,"SAV","BSh - Arid Steppe hot","Cleverly, J., Boulain, N., Villalobos-Vega, R., Grant, N., Faux, R., Wood, C., Cook, P. G., Yu, Q., Leigh, A. and Eamus, D.: Dynamics of component carbon fluxes in a semi-arid Acacia woodland, central Australia, J. Geophys. Res. Biogeosci., 118(3), 1168–1185, 2013.","Savanna","Arid"
"AU-Cpr",1376,-34.0021,140.5891,63,"SAV","BSk - Arid Steppe cold","Meyer, W. S., Kondrlovà, E. and Koerber, G. R.: Evaporation of perennial semi-arid woodland in southeastern Australia is adapted for irregular but common dry periods, Hydrol. Process., 29(17), 3714–3726, 2015.","Savanna","Arid"
"AU-Cum",494,-33.6152,150.7236,39,"EBF","Cfa - Warm temperate fully humid with hot summer","Beringer, J., Hutley, L. B., McHugh, I., Arndt, S. K., Campbell, D., Cleugh, H. A., Cleverly, J., Resco de Dios, V., Eamus, D., Evans, B., Ewenz, C., Grace, P., Griebel, A., Haverd, V., Hinko-Najera, N., Huete, A., Isaac, P., Kanniah, K., Leuning, R., Liddell, M. J., Macfarlane, C., Meyer, W., Moore, C., Pendall, E., Phillips, A., Phillips, R. L., Prober, S. M., Restrepo-Coupe, N., Rutledge, S., Schroder, I., Silberstein, R., Southall, P., Yee, M. S., Tapper, N. J., Gorsel, E. van, Vote, C., Walker, J. and ","Forest","Temperate"
"AU-DaP",1935,-14.0633,131.3181,70,"GRA","Aw - Equatorial savannah with dry winter","Beringer, J., Hutley, L. B., Hacker, J. M., Neininger, B. and Paw U, K. T.: Patterns and processes of carbon, water and energy cycles across northern Australian landscapes: From point to region, Agric. For. Meteorol., 151(11), 1409–1416, 2011a.","Grassland","Tropical"
"AU-DaS",2345,-14.1593,131.3881,73,"SAV","Aw - Equatorial savannah with dry winter","Hutley, L. B., Beringer, J., Isaac, P. R., Hacker, J. M. and Cernusak, L. A.: A sub-continental scale living laboratory: Spatial patterns of savanna vegetation over a rainfall gradient in northern Australia, Agric. For. Meteorol., 151(11), 1417–1428, 2011.","Savanna","Tropical"
"AU-Dry",1396,-15.2588,132.3706,177,"SAV","Aw - Equatorial savannah with dry winter","Cernusak, L. A., Hutley, L. B., Beringer, J., Holtum, J. A. M. and Turner, B. L.: Photosynthetic physiology of eucalypts along a sub-continental rainfall gradient in northern Australia, Agric. For. Meteorol., 151(11), 1462–1470, 2011.","Savanna","Tropical"
"AU-Emr",825,-23.8587,148.4746,174,"GRA","BSh","Schroder, I., Kuske, T. and Zegelin, S.: Eddy Covariance Dataset for Arcturus (2011-2013), Geoscience Australia, Canberra, , doi:102.100.100/14249, 2014.","Grassland","Arid"
